f(x) = e + x^(sin(x))
Input,Output
1.0,10.385756198517747
1.5,10.884233429517748
2.0,11.263886850517746
2.5,11.116194066517748
3.0,10.553456400517748
3.5,10.030148073517747
4.0,9.735991160517747
4.5,9.615617094517749
5.0,9.599424794517748
5.5,9.686117700517748
6.0,9.991895551517747
6.5,10.881557517517749
7.0,12.976778373517748
7.5,16.004985785517746
8.0,17.210669350517747
8.5,14.908171127517747
9.0,11.858966106517748
9.5,10.230107108517748
10.0,9.671501362517748
10.5,9.512132052517748
11.0,9.476667424517748
11.5,9.503627959517747
12.0,9.649353263517748
12.5,10.231523414517747
13.0,12.323691838517748
13.5,17.486869010517747
14.0,23.04299372051775
14.5,21.568839200517747
15.0,15.204079434517748
15.5,11.146778226517746
16.0,9.835877808517747
16.5,9.521716705517747
17.0,9.451378203517748
17.5,9.447027874517747
18.0,9.499861640517747
18.5,9.753900636517749
19.0,10.940489932517748
19.5,15.427570745517748
20.0,24.79456817051775
20.5,29.69039796051775
21.0,22.15726563051775
21.5,13.636157608517747
22.0,10.358767314517747
22.5,9.605163533517747
23.0,9.456173296517747
23.5,9.428567833517747
24.0,9.442004649517747
24.5,9.536592604517747
25.0,10.038856965517748
25.5,12.584872303517749
26.0,21.380746020517748
26.5,34.152375280517745
27.0,32.76992023051775
27.5,19.535125100517746
28.0,11.852042480517747
28.5,9.858330670517748
29.0,9.492785610517748
29.5,9.427141995517747
30.0,9.420474421517747
30.5,9.452246969517748
31.0,9.635464933517747
31.5,10.721797283517748
32.0,16.146272391517748
32.5,31.078225260517748
33.0,42.37558777051775
33.5,30.69301267051775
34.0,15.846447331517748
34.5,10.611515907517747
35.0,9.603957242517748
35.5,9.441453759517747
36.0,9.414364501517747
36.5,9.420781780517748
37.0,9.483660639517748
37.5,9.874024471517748
38.0,12.324746948517747
38.5,23.13632051051775
39.0,43.54126251051775
39.5,45.238261340517745
40.0,25.007013410517747
40.5,12.830310121517748
41.0,9.940606620517748
41.5,9.487814470517748
42.0,9.418284175517748
42.5,9.409633419517748
43.0,9.429540880517747
43.5,9.559553592517748
44.0,10.455038248517747
44.5,15.928338093517748
45.0,34.896572460517746
45.5,54.641639630517744
46.0,40.96892035051774
46.5,18.80726200051775
47.0,10.995016707517747
47.5,9.627937979517748
48.0,9.436851220517747
48.5,9.407943504517748
49.0,9.410188873517747
49.5,9.452718991517747
50.0,9.744044801517747
50.5,11.873468907517747
51.0,23.33219585051775
51.5,50.68360095051774
52.0,58.709524260517746
52.5,32.03107685051775
53.0,14.201730742517746
53.5,10.076988394517748
54.0,9.493392146517747
54.5,9.414472061517747
55.0,9.403955864517748
55.5,9.416525480517748
56.0,9.508282911517748
56.5,10.207554757517748
57.0,15.218202200517748
57.5,36.46917419051775
58.0,65.73128015051775
58.5,53.11214866051775
59.0,22.800079860517748
59.5,11.551400377517748
60.0,9.672834662517747
60.5,9.437020779517749
61.0,9.404599679517748
61.5,9.404035066517748
62.0,9.433082075517747
62.5,9.645718440517747
63.0,11.386216317517746
63.5,22.47386244051775
64.0,55.277293450517746
64.5,72.62574138051775
65.0,40.933532790517745
65.5,16.11746863451775
66.0,10.280480037517748
66.5,9.507074853517747
67.0,9.413156575517748
67.5,9.400632201517748
68.0,9.408378642517746
68.5,9.473018194517747
69.0,10.000831162517748
69.5,14.302852386517747
70.0,36.171528930517745
70.5,74.90481877051775
71.0,67.01565632051775
71.5,28.13293132051775
72.0,12.346728740517747
72.5,9.741967349517747
73.0,9.440578257517748
73.5,9.402850965517747
74.0,9.400161865517747
74.5,9.420077134517747
75.0,9.573206299517746
75.5,10.937431048517748
76.0,20.99336968051775
76.5,57.276105690517745
77.0,86.22542934051775
77.5,51.96187746051775
78.0,18.772087140517748
78.5,10.575427104517747
79.0,9.529384415517747
79.5,9.413491643517748
80.0,9.398595472517748
80.5,9.403009354517748
81.0,9.448542977517747
81.5,9.837817474517747
82.0,13.361895423517748
82.5,34.46784725051775
83.0,81.55747075051775
83.5,82.32980237051775
84.0,35.14083872051775
84.5,13.474708864517748
85.0,9.843135352517749
85.5,9.447374235517747
86.0,9.402108205517747
86.5,9.397611082517749
87.0,9.411228517517747
87.5,9.520610125517747
88.0,10.557496551517747
88.5,19.232916390517747
89.0,56.87668952051774
89.5,98.63423801051775
90.0,65.24387216051775
90.5,22.41073262051775
91.0,10.998754546517748
91.5,9.562513953517747
92.0,9.415220356517747
92.5,9.397359212517747
93.0,9.399349432517747
93.5,9.431446453517747
94.0,9.713916828517748
94.5,12.497317193517748
95.0,31.840226880517747
95.5,85.30893641051775
96.0,98.45703611051775
96.5,44.166246850517744
97.0,15.063737082517747
97.5,9.988884165517748
98.0,9.457911304517747
98.5,9.402121564517747
99.0,9.395894091517746
99.5,9.405088193517747
100.0,9.482867264517747
