f(x) = e + x^(sin(x))
Input,Output
1.0,3.718281828459045
2.0,4.596412479657774
3.0,3.8859820303917365
4.0,3.0685167897607846
5.0,2.9319504241028453
6.0,3.324421180947451
7.0,6.309304002939137
8.0,10.543194980877693
9.0,5.1914917357359425
10.0,3.0040269924953398
11.0,2.80919305427191
12.0,2.981878893109706
13.0,5.656217467524222
14.0,16.37551935472176
15.0,8.53660506363512
16.0,3.1684034381897783
17.0,2.7839038330831425
18.0,2.832387270417744
19.0,4.273015561534508
20.0,18.127093798092247
21.0,15.489791256654094
22.0,3.6912929440859106
23.0,2.788698925986931
24.0,2.7745302791215085
25.0,3.3713825947448637
26.0,14.713271647766627
27.0,26.10244586278396
28.0,5.184568110413716
29.0,2.8253112396926805
30.0,2.7530000514073603
31.0,2.9679905625002077
32.0,9.478798020716617
33.0,35.70811339595601
34.0,9.178972961376141
35.0,2.9364828718124776
36.0,2.7468901310164884
37.0,2.816186268935373
38.0,5.657272578424471
39.0,36.8737881364803
40.0,18.339539043358624
41.0,3.273132250154254
42.0,2.750809804972206
43.0,2.762066510047026
44.0,3.7875638779539207
45.0,28.2290980876325
46.0,34.301445982498024
47.0,4.327542337254332
48.0,2.7693768495289457
49.0,2.742714502721177
50.0,3.076570431452541
51.0,16.664721477207518
52.0,52.04204988885286
53.0,7.534256371787606
54.0,2.825917776089485
55.0,2.7364814936110915
56.0,2.8408085413866138
57.0,8.550727830117628
58.0,59.06380577590899
59.0,16.13260549058985
60.0,3.0053602918395717
61.0,2.7371253088938516
62.0,2.7656077045468046
63.0,4.718741947426671
64.0,48.60981908202965
65.0,34.2660584224781
66.0,3.613005667222296
67.0,2.74568220450605
68.0,2.7409042724770147
69.0,3.3333567919993525
70.0,29.504054563608758
71.0,60.348181952606325
72.0,5.679254370107197
73.0,2.773103887327268
74.0,2.732687495124383
75.0,2.90573192860842
76.0,14.32589530850384
77.0,79.55795496675334
78.0,12.104612771108885
79.0,2.8619100451601773
80.0,2.7311211020864823
81.0,2.7810686067791646
82.0,6.6944210527261045
83.0,74.88999637508812
84.0,28.473364345357684
85.0,3.175660982101921
86.0,2.7346338354633577
87.0,2.7437541473871767
88.0,3.8900221805187565
89.0,50.2092151520779
90.0,58.576397791570734
91.0,4.331280176444164
92.0,2.7477459855041544
93.0,2.731875061876546
94.0,3.0464424581138645
95.0,25.172752505508655
96.0,91.7895617360921
97.0,8.3962627118194
98.0,2.790436933816877
99.0,2.7284197208018846
100.0,2.8153928936381085
101.0,10.772157975956672
102.0,102.30679854762903
103.0,20.664572925842066
104.0,2.9428131280940866
105.0,2.7292053953021753
106.0,2.751957326678236
107.0,5.089617720953547
108.0,79.38639335632992
109.0,48.855672464880556
110.0,3.5305198598517658
111.0,2.735331383757071
112.0,2.7332857563214867
113.0,3.3499338987504466
114.0,43.89293689988075
115.0,91.48630553054856
116.0,5.798471812181809
117.0,2.7557425785940652
118.0,2.727518403627339
119.0,2.8877676394521448
120.0,18.832004522253282
121.0,123.03271731666764
122.0,13.695570657967515
123.0,2.8276385153046437
124.0,2.7265157603445473
125.0,2.769358030086299
126.0,7.651189766783782
127.0,113.9484911671962
128.0,35.78399179635659
129.0,3.108814209733489
130.0,2.7290914057122446
131.0,2.737407445036028
132.0,4.01417043355071
133.0,72.79186852147879
134.0,79.35818159560078
135.0,4.2608870465159
136.0,2.738868209118755
137.0,2.7279670593849263
138.0,3.0433659365414707
139.0,33.743155613059216
140.0,129.69374766592844
141.0,8.751302864567862
142.0,2.7725938111411037
143.0,2.725332496469731
144.0,2.8054177861767617
145.0,12.974079075760176
146.0,146.17169986244707
147.0,23.610842222406458
148.0,2.9026678472496763
149.0,2.7259009857874124
150.0,2.74610224640954
151.0,5.475555865820352
152.0,111.45078851423877
153.0,60.49281415359653
154.0,3.450344022653042
155.0,2.730504245036847
156.0,2.7299267471914797
157.0,3.387117430285861
158.0,58.91931374543307
159.0,119.73718837405646
160.0,5.763648543337274
161.0,2.746459708976664
162.0,2.7251699255319926
163.0,2.882292500561695
164.0,23.500083860533245
165.0,165.87292838021986
166.0,14.547594454500265
