f(x) = e + x^(sin(x))
Input,Output
1.0,6.620390669469202
1.5,10.45051635202403
2.0,11.857640427908521
2.5,6.375903244096149
3.0,13.787739801672103
3.5,12.238757324066283
4.0,7.427387930613111
4.5,6.140037379207792
5.0,9.016634454391182
5.5,8.747747170941697
6.0,12.797325601120818
6.5,14.170233979816217
7.0,14.335179966511934
7.5,16.267051451658745
8.0,17.002583167531515
8.5,13.991286121808454
9.0,10.671258821228149
9.5,12.071354802925637
10.0,4.034474032351623
10.5,7.263001437152257
11.0,12.267020660297433
11.5,6.320449145184336
12.0,12.86689439488179
12.5,5.197614858884412
13.0,9.97842256772772
13.5,14.51401004890663
14.0,23.411946990603344
14.5,19.082127054932865
15.0,10.270129836536771
15.5,12.161840203038395
16.0,10.837725966965358
16.5,5.07407637546676
17.0,6.570493875209875
17.5,6.048463204328963
18.0,9.102919577768393
18.5,5.134477531050356
19.0,12.20364894483206
19.5,15.949470690067525
20.0,21.39625530317147
20.5,26.895046667837438
21.0,18.181954116816417
21.5,12.930093564464563
22.0,5.9073157420226865
22.5,12.720235789955165
23.0,9.31751441642619
23.5,10.063257623854879
24.0,9.968102906545191
24.5,12.62553254393432
25.0,4.533685574717331
25.5,11.037189676746664
26.0,17.79770759959241
26.5,36.68587942848541
27.0,32.65314801523793
27.5,14.334687786217765
28.0,13.577560321154087
28.5,10.789002138319347
29.0,8.158045980997006
29.5,7.165811762362715
30.0,11.202426400781965
30.5,5.280017677280053
31.0,12.960823754929294
31.5,5.619636697790076
32.0,12.281911389736917
32.5,26.38841121077698
33.0,43.048517102902984
33.5,33.32342928803499
34.0,14.29066165182599
34.5,9.211188053559223
35.0,5.280421623328623
35.5,10.025218013725887
36.0,9.91123984566947
36.5,11.769753141568883
37.0,8.654715814106588
37.5,9.19227387567342
38.0,8.544604746392853
38.5,20.49863811750737
39.0,44.23036034673701
39.5,46.449386880688046
40.0,20.65959136207246
40.5,9.997450241221772
41.0,11.25740963444699
41.5,10.446678136558441
42.0,5.696536404786036
42.5,4.166675466681399
43.0,5.284142221921298
43.5,11.28670371612002
44.0,6.788463328737301
44.5,10.282922047283243
45.0,37.14708676108246
45.5,50.53485534452851
46.0,41.23339822811287
46.5,13.55030340513391
47.0,10.893876573774595
47.5,9.536042185661834
48.0,10.156091150826251
48.5,6.290642927998248
49.0,9.996449098542477
49.5,9.988310500958699
50.0,8.827002362870427
50.5,11.310948716835064
51.0,21.05625609009389
51.5,49.23798359331191
52.0,60.71703757354289
52.5,29.305623053377587
53.0,9.79191394758864
53.5,5.376759627810186
54.0,11.234551973553657
54.5,11.319530391957215
55.0,5.735596264587169
55.5,8.257853378165096
56.0,10.811223552045458
56.5,10.147247177216167
57.0,10.075554309491679
57.5,39.40692458851139
58.0,60.080367138670816
58.5,54.48092957779875
59.0,19.202680250521848
59.5,8.88152534634536
60.0,6.912968542432837
60.5,12.412667156742195
61.0,11.18217200570842
61.5,8.686374150511597
62.0,8.798388921455956
62.5,6.822542538656624
63.0,5.941383103052088
63.5,25.397838710075106
64.0,50.6793710709711
64.5,67.38089998687221
65.0,41.71322291964819
65.5,14.773205848808423
66.0,4.682297404218456
66.5,8.34377208619778
67.0,4.1323934938955444
67.5,11.789650119059482
68.0,6.418385956827814
68.5,7.037906023343316
69.0,11.786469765168956
69.5,13.317900479228081
70.0,38.63170077898648
70.5,69.45295592237197
71.0,70.17082963604392
71.5,31.174997222972948
72.0,7.757539135661062
72.5,5.510336727492093
73.0,8.831350321031156
73.5,6.652738910059298
74.0,11.705622057320829
74.5,7.100958490262281
75.0,6.9049585560995315
75.5,7.160117424822413
76.0,20.68784676723164
76.5,58.656527276914076
77.0,88.25207104040683
77.5,48.720068703739116
78.0,15.537580561959265
78.5,12.758764633638012
79.0,4.36079947531523
79.5,12.2164504586102
80.0,11.216555189605359
80.5,5.6105944966035715
81.0,5.671341088013103
81.5,5.2021619502793115
82.0,10.771964417784385
82.5,36.829240581921795
83.0,82.16703030082626
83.5,79.6782261323501
84.0,31.22833283468836
84.5,15.125156739445318
85.0,10.219844517531644
85.5,9.57010103113981
86.0,9.653937305106481
86.5,8.176010856716763
87.0,5.705974464715537
87.5,5.355610311637065
88.0,8.875073317898158
88.5,20.25967011348658
89.0,58.80958363579055
89.5,101.74485217541289
90.0,60.78235724035027
90.5,24.813407584205542
91.0,10.708567432300065
91.5,10.738411449295878
92.0,4.811923167667045
92.5,7.61902840379132
93.0,4.200215160026928
93.5,10.396291741853267
94.0,8.437514292229864
94.5,11.912977737643356
95.0,32.179785299434066
95.5,81.39813860442025
96.0,94.76993590280578
96.5,41.171953080877984
97.0,15.525171329832446
97.5,6.589180110831988
98.0,6.917466083316651
98.5,10.22684106110716
99.0,3.8107765314041395
99.5,8.555518008526715
100.0,11.277310121870295
